"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Operational Delivery","270","250","29930","25220"
"Leaver Dept.","2021","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Other","90","80","31190","27040"
"Leaver Dept.","2021","Unknown","Female","Policy","220","210","47250","42170"
"Leaver Dept.","2021","Unknown","Female","Project Delivery","60","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","2200","1860","31970","27570"
"Leaver Dept.","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Operational Delivery","190","190","28190","25120"
"Leaver Dept.","2021","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Other","60","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Policy","110","110","46560","42330"
"Leaver Dept.","2021","Unknown","Male","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","1800","1580","33730","28230"
"Leaver Dept.","2021","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Economics","50","40","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Statistics","50","50","[c]","[c]"
"Leaver Dept.","2022","Analysis","Female","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Economics","80","70","42960","34940"
"Leaver Dept.","2022","Analysis","Male","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Statistics","50","50","[c]","[c]"
"Leaver Dept.","2022","Analysis","Male","Unknown","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Commercial","220","120","40580","38980"
"Leaver Dept.","2022","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Commercial","180","110","46030","41500"
"Leaver Dept.","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Communications","220","150","40530","36330"
"Leaver Dept.","2022","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Female","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Communications","160","100","42970","36930"
"Leaver Dept.","2022","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Female","Counter Fraud","60","50","30490","27570"
"Leaver Dept.","2022","Counter Fraud","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Male","Counter Fraud","60","60","31310","27610"
"Leaver Dept.","2022","Counter Fraud","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Female","Other","30","30","[c]","[c]"
"Leaver Dept.","2022","Debt","Female","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Male","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Digital, Data and Technology","290","230","40650","36780"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Digital, Data and Technology","390","340","42010","38000"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Male","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Finance","280","190","39550","35530"
"Leaver Dept.","2022","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Finance","260","190","43790","40190"
"Leaver Dept.","2022","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","Female","Operational Delivery","40","30","[c]","[c]"
"Leaver Dept.","2022","Grants Management","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Human Resources","400","360","38230","33300"
"Leaver Dept.","2022","Human Resources","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Unknown","100","90","42800","36320"
"Leaver Dept.","2022","Human Resources","Male","Human Resources","150","130","40460","34310"
"Leaver Dept.","2022","Human Resources","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Legal","70","70","59100","58500"
"Leaver Dept.","2022","Legal","Female","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Male","Human Resources","[c]","[c]","[c]","[c]"
