"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","50-59","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","65+","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","No function","750","750","32270","32000"
"Leaver Dept.","2021","Unknown","20-29","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","Unknown","950","780","31320","31060"
"Leaver Dept.","2021","Unknown","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","No function","390","370","40170","35710"
"Leaver Dept.","2021","Unknown","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","30-39","Unknown","770","630","36410","31990"
"Leaver Dept.","2021","Unknown","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","No function","160","150","47680","47880"
"Leaver Dept.","2021","Unknown","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","40-49","Unknown","460","390","32670","27570"
"Leaver Dept.","2021","Unknown","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","No function","110","100","42140","37670"
"Leaver Dept.","2021","Unknown","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","Unknown","340","310","31780","27570"
"Leaver Dept.","2021","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","65+","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","110","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Analysis","140","130","35970","34320"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Communications","70","60","33100","33260"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Digital, Data & Technology","100","100","33630","33100"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Finance","60","60","33120","31020"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Human Resources","150","150","30330","28000"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","No function","2750","2650","30090","27680"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Project Delivery","140","140","29460","27540"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Security","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","20-29","Unknown","390","380","30210","27570"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Analysis","70","70","45160","42980"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Commercial","80","70","40060","40000"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Communications","90","90","41310","37280"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Digital, Data & Technology","140","130","40760","38000"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Finance","90","90","40410","36580"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Human Resources","160","150","37730","32330"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Legal","50","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","No function","2730","2580","37220","32330"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Project Delivery","120","120","39860","38570"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","30-39","Unknown","500","480","35720","30810"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Commercial","50","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Communications","70","60","46960","40640"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Counter Fraud","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Digital, Data & Technology","130","120","48060","42440"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Finance","100","90","45520","41170"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Human Resources","130","130","40490","36540"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","No function","2040","1890","42180","36330"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Project Delivery","140","140","45750","41920"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Property","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Security","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","40-49","Unknown","310","300","40130","31990"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Digital, Data & Technology","60","60","48640","42080"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Finance","70","70","43130","40190"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Human Resources","90","90","43240","39390"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","No function","1510","1390","44050","36330"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Project Delivery","90","80","45660","39030"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Property","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","50-59","Unknown","200","180","36400","28810"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","No function","290","250","47260","36330"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","No function","110","70","44050","30460"
"Leaver Dept.","2022","Heterosexual / straight","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","No function","400","370","31060","28590"
"Leaver Dept.","2022","LGBO","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","20-29","Unknown","50","50","31270","28740"
"Leaver Dept.","2022","LGBO","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","No function","260","250","38400","34960"
"Leaver Dept.","2022","LGBO","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","40-49","Legal","[c]","[c]","[c]","[c]"
