"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Operational Delivery","330","320","28810","25040"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Policy","110","110","50230","46070"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Heterosexual / straight","Unknown","230","200","32850","28000"
"Leaver Dept.","2021","Home Office","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Operational Delivery","40","30","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Commercial","70","70","35310","33300"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Other","100","100","31680","27410"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Project Delivery","170","170","39440","33300"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Science and Engineering","70","70","34840","32540"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Policy","150","150","42060","36690"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","LGBO","Unknown","[c]","[c]","[c]","[c]"
