"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Digital, Data & Technology","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Cabinet Office","50","50","50910","53600"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Ministry of Defence","30","30","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Ministry of Justice","60","60","46590","44550"
"Leaver Dept.","2021","Finance","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Operational Delivery","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Ministry of Defence","60","50","34710","29250"
"Leaver Dept.","2021","Human Resources","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Ministry of Justice","70","70","41790","36800"
"Leaver Dept.","2021","Human Resources","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Cabinet Office","170","170","38050","32910"
"Leaver Dept.","2021","Human Resources","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Attorney General's Departments","70","70","58980","55130"
"Leaver Dept.","2021","Legal","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Operational Delivery","Attorney General's Departments","40","40","[c]","[c]"
"Leaver Dept.","2021","Legal","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Operational Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Inspector of Education and Training","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","International Trade","Department for International Trade","130","130","45780","42030"
"Leaver Dept.","2021","No function","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Operational Delivery","Department for Business, Energy and Industrial Strategy","120","120","34180","24580"
