"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Public Health England","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","No function","Knowledge and Information Management","50","50","37330","32650"
"Leaver CS","2021","Public Health England","No function","Medicine","60","50","84450","98480"
"Leaver CS","2021","Public Health England","No function","Operational Delivery","270","250","39140","32650"
"Leaver CS","2021","Public Health England","No function","Science and Engineering","310","280","33110","30460"
"Leaver CS","2021","Public Health England","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Queen Elizabeth II Centre","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Queen Elizabeth II Centre","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Revenue Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Royal Fleet Auxiliary","Unknown","Other","150","150","35020","32400"
"Leaver CS","2021","Rural Payments Agency","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Rural Payments Agency","Grants Management","Operational Delivery","90","80","24610","21050"
"Leaver CS","2021","Rural Payments Agency","Grants Management","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Rural Payments Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Courts and Tribunals Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Courts and Tribunals Service","Legal","Operational Delivery","100","90","27690","22820"
"Leaver CS","2021","Scottish Fiscal Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","Unknown","270","250","41610","35110"
"Leaver CS","2021","Scottish Housing Regulator","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","No function","Operational Delivery","180","160","31570","33650"
"Leaver CS","2021","Scottish Prison Service","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","No function","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Property","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Standards and Testing Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Standards and Testing Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Human Resources","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Human Resources","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Debt","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Communications","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Human Resources","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","Operational Delivery","180","130","24330","19520"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Property","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Security","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Property","Operational Delivery","50","50","21110","20000"
"Leaver CS","2021","Valuation Office Agency","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Property","Property","200","170","31590","26500"
"Leaver CS","2021","Vehicle Certification Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","No function","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","Policy","[c]","[c]","[c]","[c]"
