"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Declared disabled","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","20-29","Unknown","110","110","31490","32000"
"Leaver Dept.","2021","Declared disabled","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Policy","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","30-39","Unknown","130","120","37330","32320"
"Leaver Dept.","2021","Declared disabled","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Operational Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","40-49","Unknown","100","100","35580","29170"
"Leaver Dept.","2021","Declared disabled","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Operational Delivery","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","50-59","Unknown","80","70","36580","29930"
"Leaver Dept.","2021","Declared disabled","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Economics","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Human Resources","60","60","31800","29880"
"Leaver Dept.","2021","Declared non-disabled","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Operational Delivery","410","400","25880","24050"
"Leaver Dept.","2021","Declared non-disabled","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Other","60","60","29190","27350"
"Leaver Dept.","2021","Declared non-disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Policy","350","340","36170","33570"
"Leaver Dept.","2021","Declared non-disabled","20-29","Project Delivery","90","90","30380","28630"
"Leaver Dept.","2021","Declared non-disabled","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Statistics","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","20-29","Unknown","1050","960","31320","31080"
"Leaver Dept.","2021","Declared non-disabled","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Digital, Data and Technology","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Finance","50","50","51270","51580"
"Leaver Dept.","2021","Declared non-disabled","30-39","Human Resources","70","60","40010","36600"
"Leaver Dept.","2021","Declared non-disabled","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Operational Delivery","410","400","27660","24890"
"Leaver Dept.","2021","Declared non-disabled","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Other","60","50","34590","30370"
"Leaver Dept.","2021","Declared non-disabled","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Policy","330","320","48740","51580"
"Leaver Dept.","2021","Declared non-disabled","30-39","Project Delivery","80","70","42880","40850"
"Leaver Dept.","2021","Declared non-disabled","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Science and Engineering","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","30-39","Unknown","960","870","37920","32000"
"Leaver Dept.","2021","Declared non-disabled","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Finance","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Human Resources","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Operational Delivery","230","220","34830","27240"
"Leaver Dept.","2021","Declared non-disabled","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Other","50","50","46940","39690"
"Leaver Dept.","2021","Declared non-disabled","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Policy","150","140","58470","56100"
"Leaver Dept.","2021","Declared non-disabled","40-49","Project Delivery","70","70","48570","45970"
"Leaver Dept.","2021","Declared non-disabled","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","40-49","Unknown","630","580","38410","31990"
"Leaver Dept.","2021","Declared non-disabled","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
