"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Other","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Other","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Project Delivery","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Property","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Security","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","200","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Digital, Data and Technology","HM Land Registry","80","70","36720","37870"
"Leaver CS","2022","HM Land Registry","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Operational Delivery","HM Land Registry","260","210","28500","27130"
"Leaver CS","2022","HM Land Registry","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Internal Audit","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Operational Delivery","HM Revenue and Customs (excl. agencies)","90","70","27460","22080"
"Leaver CS","2022","HM Revenue and Customs","Operational Delivery","Valuation Office Agency","130","120","21910","22010"
"Leaver CS","2022","HM Revenue and Customs","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Policy","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Property","Valuation Office Agency","120","100","35860","30590"
"Leaver CS","2022","HM Revenue and Customs","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Statistics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Tax","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Unknown","HM Revenue and Customs (excl. agencies)","4530","3830","[c]","[c]"
"Leaver CS","2022","HM Treasury","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Digital, Data and Technology","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Internal Audit","Government Internal Audit Agency","30","30","[c]","[c]"
"Leaver CS","2022","HM Treasury","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Operational Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Policy","HM Treasury (excl. agencies)","110","110","[c]","[c]"
"Leaver CS","2022","HM Treasury","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Policy","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Project Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Digital, Data and Technology","Home Office","120","120","51880","45600"
"Leaver CS","2022","Home Office","Economics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Human Resources","Home Office","40","40","[c]","[c]"
"Leaver CS","2022","Home Office","Intelligence Analysis","Home Office","70","60","28140","27370"
"Leaver CS","2022","Home Office","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Operational Delivery","Home Office","1400","1140","27680","25310"
"Leaver CS","2022","Home Office","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Other","Home Office","140","130","32490","26160"
"Leaver CS","2022","Home Office","Policy","Home Office","120","120","48250","41970"
"Leaver CS","2022","Home Office","Project Delivery","Home Office","70","60","47570","41950"
"Leaver CS","2022","Home Office","Property","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Security","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Social Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Statistics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","Commercial","Defence Equipment and Support","50","50","41100","35920"
"Leaver CS","2022","Ministry of Defence","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
