"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","G6/G7","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Cabinet Office","50","40","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Department for Business, Energy and Industrial Strategy","120","120","56740","53600"
"Leaver CS","2022","G6/G7","No function","Department for Digital, Culture, Media and Sport","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Department for Education","70","60","57790","56060"
"Leaver CS","2022","G6/G7","No function","Department for Environment, Food and Rural Affairs","60","50","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Department for International Trade","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Department for Levelling Up, Housing and Communities","50","50","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Department for Transport","90","80","62710","59540"
"Leaver CS","2022","G6/G7","No function","Department for Work and Pensions","60","50","58370","57510"
"Leaver CS","2022","G6/G7","No function","Department of Health and Social Care","680","560","57470","53830"
"Leaver CS","2022","G6/G7","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","HM Treasury","50","50","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Ministry of Defence","90","90","54630","52770"
"Leaver CS","2022","G6/G7","No function","Ministry of Justice","200","180","60140","59010"
"Leaver CS","2022","G6/G7","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Office for Standards in Education, Children's Services and Skills","60","60","75940","75500"
"Leaver CS","2022","G6/G7","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","No function","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Foreign, Commonwealth and Development Office","50","50","62420","62120"
"Leaver CS","2022","G6/G7","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Ministry of Defence","100","90","57620","56450"
"Leaver CS","2022","G6/G7","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Work and Pensions","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Foreign, Commonwealth and Development Office","40","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","HM Revenue and Customs","290","260","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Home Office","190","180","62130","60670"
"Leaver CS","2022","G6/G7","Unknown","Ministry of Defence","100","80","66810","64220"
"Leaver CS","2022","G6/G7","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Scottish Government","120","110","66410","62170"
"Leaver CS","2022","G6/G7","Unknown","Welsh Government","40","30","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Department of Health and Social Care","210","170","98440","95140"
"Leaver CS","2022","SCS","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
