"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Economics","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Finance","280","190","39550","35530"
"Leaver Dept.","2022","Finance","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Finance","260","190","43790","40190"
"Leaver Dept.","2022","Finance","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Human Resources","400","360","38230","33300"
"Leaver Dept.","2022","Human Resources","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Human Resources","150","130","40460","34310"
"Leaver Dept.","2022","Human Resources","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Female","No function","50","50","[c]","[c]"
"Leaver Dept.","2022","International Trade","Male","No function","40","40","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","No function","170","150","44240","40940"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","No function","90","80","45530","42850"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Female","Legal","70","70","59100","58500"
"Leaver Dept.","2022","Legal","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Male","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Medicine","Female","No function","260","210","84080","91570"
"Leaver Dept.","2022","Medicine","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Male","No function","140","120","102490","107000"
"Leaver Dept.","2022","Medicine","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Grants Management","40","30","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","No function","4870","4500","33040","27570"
"Leaver Dept.","2022","Operational Delivery","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Female","Unknown","380","350","28210","25040"
"Leaver Dept.","2022","Operational Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","No function","2630","2530","34460","27570"
"Leaver Dept.","2022","Operational Delivery","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Male","Unknown","350","350","27920","25040"
"Leaver Dept.","2022","Operational Research","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Debt","30","30","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","No function","210","210","30790","27570"
"Leaver Dept.","2022","Other","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Female","Unknown","140","140","29630","26260"
"Leaver Dept.","2022","Other","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","No function","150","150","32560","27570"
"Leaver Dept.","2022","Other","Male","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Male","Unknown","90","90","33040","28930"
"Leaver Dept.","2022","Planning","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","No function","1040","780","44100","40050"
"Leaver Dept.","2022","Policy","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Female","Unknown","180","180","46000","41970"
"Leaver Dept.","2022","Policy","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","No function","900","700","44890","40050"
"Leaver Dept.","2022","Policy","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Male","Unknown","180","180","48310","44500"
"Leaver Dept.","2022","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Female","Project Delivery","200","200","39980","36920"
"Leaver Dept.","2022","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Female","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","Project Delivery","190","190","40490","37640"
"Leaver Dept.","2022","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Female","Property","60","50","[c]","[c]"
"Leaver Dept.","2022","Property","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Male","Property","60","50","[c]","[c]"
"Leaver Dept.","2022","Psychology","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Female","No function","1480","1340","39150","37000"
"Leaver Dept.","2022","Science and Engineering","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Female","Property","[c]","[c]","[c]","[c]"
