"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Security","90","90","27140","25000"
"Leaver CS","2022","Unknown","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Unknown","3190","2670","22210","21260"
"Leaver CS","2022","Unknown","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Counter Fraud","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Digital, Data and Technology","60","60","26830","26670"
"Leaver CS","2022","Unknown","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Finance","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","International Trade","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Knowledge and Information Management","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Operational Delivery","1080","940","28070","27570"
"Leaver CS","2022","Unknown","EO","Other","160","150","25030","26350"
"Leaver CS","2022","Unknown","EO","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Unknown","1340","1150","28080","27570"
"Leaver CS","2022","Unknown","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Digital, Data and Technology","100","90","58110","56660"
"Leaver CS","2022","Unknown","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Legal","70","70","59640","57220"
"Leaver CS","2022","Unknown","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Operational Delivery","190","180","58720","55930"
"Leaver CS","2022","Unknown","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Other","50","40","59580","54400"
"Leaver CS","2022","Unknown","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Policy","90","80","58330","53380"
"Leaver CS","2022","Unknown","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Science and Engineering","60","50","55090","53220"
"Leaver CS","2022","Unknown","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Unknown","550","470","64910","62170"
"Leaver CS","2022","Unknown","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Unknown","100","80","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Communications","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Digital, Data and Technology","170","170","37350","36840"
"Leaver CS","2022","Unknown","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Human Resources","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Knowledge and Information Management","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Medicine","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Operational Delivery","410","380","36410","35050"
"Leaver CS","2022","Unknown","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Other","100","90","38390","38690"
"Leaver CS","2022","Unknown","SEO/HEO","Policy","140","140","36530","36500"
"Leaver CS","2022","Unknown","SEO/HEO","Project Delivery","70","60","37830","38510"
"Leaver CS","2022","Unknown","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Science and Engineering","100","90","36090","35360"
"Leaver CS","2022","Unknown","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Unknown","1170","970","36740","36130"
"Leaver CS","2022","Unknown","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Operational Delivery","460","400","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Other","240","240","36090","33420"
"Leaver CS","2022","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","170","120","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Operational Delivery","520","500","20870","21010"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Unknown","270","260","21300","21010"
"Leaver Dept.","2021","Heterosexual / straight","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Operational Delivery","340","330","25360","24890"
"Leaver Dept.","2021","Heterosexual / straight","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Other","60","60","26190","26960"
"Leaver Dept.","2021","Heterosexual / straight","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Policy","90","90","27540","27650"
"Leaver Dept.","2021","Heterosexual / straight","EO","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","EO","Unknown","610","580","27710","27570"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Economics","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Finance","50","50","57780","57440"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Human Resources","50","50","58610","58060"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Legal","50","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Operational Delivery","80","80","56210","53880"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Other","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Policy","300","290","56540","54400"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Project Delivery","80","70","58890","57460"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Unknown","310","300","58010","56230"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Policy","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Commercial","70","70","35680","35790"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Communications","60","60","39050","37940"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Economics","50","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Finance","60","60","39170","39290"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Human Resources","110","110","35380","33640"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","International Trade","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Operational Delivery","290","280","34440","33300"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Other","80","80","33770","32830"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Policy","400","390","36370","35200"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Project Delivery","150","150","34360","33300"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Science and Engineering","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Statistics","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
