"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Female","Commercial","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department of Health and Social Care","140","50","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Ministry of Defence","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Department of Health and Social Care","120","60","42890","37830"
"Leaver Dept.","2022","Female","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","Department for Work and Pensions","50","50","28320","27570"
"Leaver Dept.","2022","Female","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Debt","Department for Work and Pensions","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Cabinet Office","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Education","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department for Work and Pensions","50","50","38430","36180"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Department of Health and Social Care","110","60","43650","36330"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department for Work and Pensions","50","50","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Department of Health and Social Care","150","60","36230","32650"
"Leaver Dept.","2022","Female","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Grants Management","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Cabinet Office","100","100","42290","36220"
"Leaver Dept.","2022","Female","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Department for Work and Pensions","70","70","31260","27570"
"Leaver Dept.","2022","Female","Human Resources","Department of Health and Social Care","180","150","41660","36110"
"Leaver Dept.","2022","Female","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Ministry of Defence","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Attorney General's Departments","130","120","42230","31560"
"Leaver Dept.","2022","Female","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
