"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Finance","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Medicine","60","60","38410","37890"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Other","160","160","36000","34610"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Project Delivery","100","90","38440","39510"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Property","50","50","37300","36460"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","SEO/HEO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","EO","Operational Delivery","60","60","34520","34300"
"Leaver CS","2021","National Crime Agency","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SEO/HEO","Operational Delivery","70","60","45570","44830"
"Leaver CS","2021","National Crime Agency","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","G6/G7","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","AA/AO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","EO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","EO","Policy","[c]","[c]","[c]","[c]"
