"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Undeclared","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","20-29","70","70","32930","32000"
"Leaver Dept.","2021","Undeclared","Unknown","30-39","80","80","39480","34260"
"Leaver Dept.","2021","Undeclared","Unknown","40-49","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","20-29","180","180","24020","21590"
"Leaver Dept.","2021","Unknown","Operational Delivery","30-39","100","90","28770","24450"
"Leaver Dept.","2021","Unknown","Operational Delivery","40-49","80","70","30980","24250"
"Leaver Dept.","2021","Unknown","Operational Delivery","50-59","70","60","33450","26340"
"Leaver Dept.","2021","Unknown","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","20-29","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Planning","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Planning","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","20-29","270","260","36070","33510"
"Leaver Dept.","2021","Unknown","Policy","30-39","190","180","43510","39770"
"Leaver Dept.","2021","Unknown","Policy","40-49","70","60","54970","54900"
"Leaver Dept.","2021","Unknown","Policy","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Psychology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Social Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Social Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Tax","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","20-29","1220","1050","31710","32000"
"Leaver Dept.","2021","Unknown","Unknown","30-39","870","730","38170","32000"
"Leaver Dept.","2021","Unknown","Unknown","40-49","490","420","38250","31990"
"Leaver Dept.","2021","Unknown","Unknown","50-59","350","330","35910","27570"
"Leaver Dept.","2021","Unknown","Unknown","60-64","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","110","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","20-29","60","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","30-39","100","90","36660","36500"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","40-49","60","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","50-59","60","50","44240","40950"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","20-29","60","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","30-39","80","80","41240","37490"
"Leaver Dept.","2022","Heterosexual / straight","Communications","40-49","60","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","20-29","90","90","33490","33100"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","30-39","130","120","40410","38000"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","40-49","130","120","47510","41990"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","50-59","70","60","48660","43000"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Economics","20-29","60","60","36620","34310"
"Leaver Dept.","2022","Heterosexual / straight","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Economics","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Economics","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","20-29","60","60","32740","30750"
"Leaver Dept.","2022","Heterosexual / straight","Finance","30-39","100","90","40970","36900"
"Leaver Dept.","2022","Heterosexual / straight","Finance","40-49","110","90","44750","41530"
"Leaver Dept.","2022","Heterosexual / straight","Finance","50-59","80","70","45090","40950"
"Leaver Dept.","2022","Heterosexual / straight","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Geography","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Geography","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Geography","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","20-29","130","120","30460","29700"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","30-39","120","120","37620","32330"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","40-49","110","110","43490","39850"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","50-59","70","70","46480","42760"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","30-39","70","70","42500","40070"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","40-49","60","50","46520","48860"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","50-59","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","30-39","60","50","66880","60830"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","40-49","90","70","80830","91570"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","50-59","70","60","97370","107720"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","20-29","1660","1600","27400","26880"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","30-39","1750","1660","31630","27570"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","40-49","1330","1240","35700","29220"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","50-59","1000","940","35920","29030"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","60-64","190","160","39370","29230"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","65+","60","50","34290","28200"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Other","20-29","190","190","27170","27570"
"Leaver Dept.","2022","Heterosexual / straight","Other","30-39","130","130","31260","27570"
"Leaver Dept.","2022","Heterosexual / straight","Other","40-49","120","120","34400","27650"
"Leaver Dept.","2022","Heterosexual / straight","Other","50-59","80","80","32840","27570"
"Leaver Dept.","2022","Heterosexual / straight","Other","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Other","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
