"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Operational Delivery","Undeclared","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","No function","350","330","28820","23300"
"Leaver Dept.","2021","Operational Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","No function","40","40","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Project Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","Unknown","100","90","33350","29220"
"Leaver Dept.","2021","Other","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Planning","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","No function","90","80","42270","36750"
"Leaver Dept.","2021","Policy","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","No function","600","580","44790","39600"
"Leaver Dept.","2021","Policy","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared non-disabled","Unknown","240","240","48020","42410"
"Leaver Dept.","2021","Policy","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Undeclared","No function","60","60","[c]","[c]"
"Leaver Dept.","2021","Policy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","No function","540","530","41830","36900"
"Leaver Dept.","2021","Policy","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Unknown","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Project Delivery","180","170","41820","38930"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Unknown","70","70","39920","32870"
"Leaver Dept.","2021","Project Delivery","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Project Delivery","60","60","41840","37260"
"Leaver Dept.","2021","Project Delivery","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared non-disabled","Analysis","60","60","41560","37790"
"Leaver Dept.","2021","Statistics","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
