"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Science and Engineering","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","No function","20-29","200","190","22880","21570"
"Leaver CS","2021","Science and Engineering","No function","30-39","110","100","32640","32900"
"Leaver CS","2021","Science and Engineering","No function","40-49","80","70","36590","36170"
"Leaver CS","2021","Science and Engineering","No function","50-59","60","60","44900","40560"
"Leaver CS","2021","Science and Engineering","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","60-64","30","30","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","65+","30","30","[c]","[c]"
"Leaver CS","2021","Security","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Security","20-29","50","50","26260","25680"
"Leaver CS","2021","Security","Security","30-39","50","50","[c]","[c]"
"Leaver CS","2021","Security","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Security","50-59","100","100","33770","38120"
"Leaver CS","2021","Security","Security","60-64","80","80","32170","38120"
"Leaver CS","2021","Security","Security","65+","60","50","24090","20060"
"Leaver CS","2021","Security","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","20-29","90","90","27550","28000"
"Leaver CS","2021","Unknown","No function","30-39","70","70","[c]","[c]"
"Leaver CS","2021","Unknown","No function","40-49","60","50","[c]","[c]"
"Leaver CS","2021","Unknown","No function","50-59","120","100","[c]","[c]"
"Leaver CS","2021","Unknown","No function","60-64","60","50","[c]","[c]"
"Leaver CS","2021","Unknown","No function","65+","60","40","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","16-19","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","20-29","1550","1420","25310","24110"
"Leaver CS","2021","Unknown","Unknown","30-39","1250","1100","28250","27570"
"Leaver CS","2021","Unknown","Unknown","40-49","1340","1170","29300","26890"
"Leaver CS","2021","Unknown","Unknown","50-59","3260","2860","30580","27570"
"Leaver CS","2021","Unknown","Unknown","60-64","2300","1800","30770","27570"
"Leaver CS","2021","Unknown","Unknown","65+","1620","1090","26760","26120"
"Leaver CS","2021","Unknown","Unknown","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","20-29","80","50","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","30-39","60","40","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","40-49","60","40","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","50-59","60","50","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","60-64","50","40","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Property","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","20-29","110","100","30100","28980"
"Leaver CS","2022","Communications","Communications","30-39","100","80","39970","37910"
"Leaver CS","2022","Communications","Communications","40-49","60","50","[c]","[c]"
"Leaver CS","2022","Communications","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","No function","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","50-59","60","50","29190","27570"
"Leaver CS","2022","Counter Fraud","Counter Fraud","60-64","80","60","27840","27570"
"Leaver CS","2022","Counter Fraud","Counter Fraud","65+","70","40","27520","27570"
"Leaver CS","2022","Counter Fraud","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","20-29","280","260","31020","30010"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","30-39","290","280","40890","37450"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","40-49","220","200","45950","40630"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","50-59","180","160","45810","40830"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","60-64","130","120","42980","40670"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","65+","90","70","36960","33300"
