"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","EO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","No function","360","340","27490","27570"
"Leaver Dept.","2022","EO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared disabled","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Counter Fraud","50","50","27830","27570"
"Leaver Dept.","2022","EO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Digital, Data & Technology","70","60","27660","27460"
"Leaver Dept.","2022","EO","Declared non-disabled","Finance","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Human Resources","130","130","27190","27570"
"Leaver Dept.","2022","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Legal","30","30","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","No function","2360","2270","27100","27570"
"Leaver Dept.","2022","EO","Declared non-disabled","Project Delivery","90","90","24520","25500"
"Leaver Dept.","2022","EO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Declared non-disabled","Unknown","680","650","26660","25440"
"Leaver Dept.","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","No function","150","140","27210","27570"
"Leaver Dept.","2022","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Communications","40","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Finance","50","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Human Resources","50","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","No function","540","450","27540","27570"
"Leaver Dept.","2022","EO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Unknown","200","190","26920","27370"
"Leaver Dept.","2022","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","No function","170","150","56810","54340"
"Leaver Dept.","2022","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared disabled","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Analysis","80","70","56670","54400"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Commercial","60","60","59170","55600"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Communications","50","50","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Digital, Data & Technology","120","120","58180","56280"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Finance","90","90","57930","56390"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Human Resources","90","90","57850","57500"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Legal","60","50","60020","58490"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","No function","1710","1620","57550","54700"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Project Delivery","120","110","57200","56200"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Unknown","350","290","60930","57740"
"Leaver Dept.","2022","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","No function","70","70","56380","53600"
"Leaver Dept.","2022","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Analysis","110","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Commercial","50","40","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Communications","80","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Finance","40","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Legal","30","30","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","No function","1020","830","58260","54700"
"Leaver Dept.","2022","G6/G7","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Unknown","130","70","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","No function","30","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","No function","350","310","96240","95140"
"Leaver Dept.","2022","SCS","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2022","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","No function","220","170","111600","109880"
"Leaver Dept.","2022","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","No function","420","390","35060","34290"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Unknown","90","80","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Analysis","160","160","36870","36650"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Commercial","100","90","37060","36800"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Communications","150","140","36530","35900"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Counter Fraud","30","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Digital, Data & Technology","230","220","36610","36330"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Finance","150","150","36730","35590"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Human Resources","210","200","34890","33930"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","No function","3210","3050","35520","34860"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Project Delivery","230","230","35080","35310"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Property","40","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Security","50","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Unknown","680","580","37690","37320"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Analysis","30","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","No function","200","190","36160","35180"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Analysis","80","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Commercial","140","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Communications","60","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Digital, Data & Technology","170","90","37160","36650"
"Leaver Dept.","2022","SEO/HEO","Unknown","Finance","120","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","No function","1740","1490","35160","33640"
"Leaver Dept.","2022","SEO/HEO","Unknown","Project Delivery","50","50","37350","37800"
"Leaver Dept.","2022","SEO/HEO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","Unknown","290","250","36990","36590"
"Leaver Dept.","2022","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
