"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","20-29","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","30-39","50","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","40-49","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","No function","20-29","2750","2650","30090","27680"
"Leaver Dept.","2022","Heterosexual / straight","No function","30-39","2730","2580","37220","32330"
"Leaver Dept.","2022","Heterosexual / straight","No function","40-49","2040","1890","42180","36330"
"Leaver Dept.","2022","Heterosexual / straight","No function","50-59","1510","1390","44050","36330"
"Leaver Dept.","2022","Heterosexual / straight","No function","60-64","290","250","47260","36330"
"Leaver Dept.","2022","Heterosexual / straight","No function","65+","110","70","44050","30460"
"Leaver Dept.","2022","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","20-29","140","140","29460","27540"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","30-39","120","120","39860","38570"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","40-49","140","140","45750","41920"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","50-59","90","80","45660","39030"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","40-49","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","50-59","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","20-29","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","40-49","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","20-29","390","380","30210","27570"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","30-39","500","480","35720","30810"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","40-49","310","300","40130","31990"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","50-59","200","180","36400","28810"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Debt","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Debt","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Debt","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","20-29","400","370","31060","28590"
"Leaver Dept.","2022","LGBO","No function","30-39","260","250","38400","34960"
"Leaver Dept.","2022","LGBO","No function","40-49","140","130","44900","39660"
"Leaver Dept.","2022","LGBO","No function","50-59","80","70","47250","37630"
"Leaver Dept.","2022","LGBO","No function","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","20-29","50","50","31270","28740"
"Leaver Dept.","2022","LGBO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","20-29","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","30-39","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","20-29","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","30-39","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","40-49","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","50-59","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","30-39","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Debt","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","20-29","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","30-39","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","40-49","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","20-29","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","30-39","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","40-49","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","20-29","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","20-29","440","300","29570","27570"
"Leaver Dept.","2022","Undeclared","No function","30-39","390","310","39770","36800"
"Leaver Dept.","2022","Undeclared","No function","40-49","350","260","42910","39170"
"Leaver Dept.","2022","Undeclared","No function","50-59","290","200","46390","40570"
"Leaver Dept.","2022","Undeclared","No function","60-64","70","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","20-29","60","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","30-39","80","60","36510","32390"
"Leaver Dept.","2022","Undeclared","Unknown","40-49","50","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","50-59","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","20-29","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","30-39","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
