"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4580","3860","[c]","[c]"
"Leaver CS","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Home Office","Home Office","320","310","30960","27370"
"Leaver CS","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","70","70","55540","50080"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","450","420","30420","26610"
"Leaver CS","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","130","120","35690","31420"
"Leaver CS","2022","Unknown","National Crime Agency","National Crime Agency","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","90","80","51120","46250"
"Leaver CS","2022","Unknown","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Public Health England","Department of Health and Social Care","180","160","47250","41340"
"Leaver CS","2022","Unknown","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Royal Fleet Auxiliary","Ministry of Defence","240","240","36010","33270"
"Leaver CS","2022","Unknown","Rural Payments Agency","Department for Environment, Food and Rural Affairs","100","90","23910","21300"
"Leaver CS","2022","Unknown","Scottish Courts and Tribunals Service","Scottish Government","140","110","28510","23780"
"Leaver CS","2022","Unknown","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Government (excl. agencies)","Scottish Government","210","190","38070","31540"
"Leaver CS","2022","Unknown","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Prison Service","Scottish Government","230","210","31020","27860"
"Leaver CS","2022","Unknown","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","The Insolvency Service","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Health Security Agency","Department of Health and Social Care","220","210","50710","40650"
"Leaver CS","2022","Unknown","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","Department for Business, Energy and Industrial Strategy","90","60","[c]","[c]"
"Leaver CS","2022","Unknown","UK Statistics Authority","UK Statistics Authority","180","160","28320","23630"
"Leaver CS","2022","Unknown","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Valuation Office Agency","HM Revenue and Customs","100","90","28590","22080"
"Leaver CS","2022","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Cabinet Office","640","630","42030","34550"
"Leaver Dept.","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Crown Prosecution Service","Attorney General's Departments","50","50","35680","29170"
"Leaver Dept.","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Defence Equipment and Support","Ministry of Defence","290","290","34040","31250"
"Leaver Dept.","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Ministry of Defence","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","300","280","47040","40220"
"Leaver Dept.","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","110","110","48910","49600"
"Leaver Dept.","2021","Heterosexual / straight","Department for Education (excl. agencies)","Department for Education","140","140","42980","39890"
"Leaver Dept.","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Department for International Trade","Department for International Trade","120","120","45500","38540"
"Leaver Dept.","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Department for Transport","130","130","47150","42460"
"Leaver Dept.","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","860","820","30300","27570"
"Leaver Dept.","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Department for Transport","70","70","26170","21590"
"Leaver Dept.","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Department for Transport","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Food Standards Agency","Food Standards Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Government Legal Department","Attorney General's Departments","60","60","42370","46960"
"Leaver Dept.","2021","Heterosexual / straight","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","HM Courts and Tribunals Service","Ministry of Justice","280","270","26080","21530"
"Leaver Dept.","2021","Heterosexual / straight","HM Prison and Probation Service","Ministry of Justice","290","280","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","HM Treasury (excl. agencies)","HM Treasury","80","80","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Home Office (incl. agencies)","Home Office","840","800","35540","29860"
"Leaver Dept.","2021","Heterosexual / straight","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Ministry of Defence","290","290","39010","33930"
"Leaver Dept.","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","260","250","41020","34000"
"Leaver Dept.","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Ministry of Justice","280","280","42490","36800"
"Leaver Dept.","2021","Heterosexual / straight","National Crime Agency","National Crime Agency","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
