"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Office of the Public Guardian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Planning Inspectorate","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Planning Inspectorate","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Planning Inspectorate","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Public Health England","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Queen Elizabeth II Centre","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Queen Elizabeth II Centre","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Registers of Scotland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Registers of Scotland","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Royal Fleet Auxiliary","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Standards and Testing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Teaching Regulation Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","The National Archives","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Hydrographic Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Hydrographic Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Space Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Revenue Authority","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office (excl. agencies)","Unknown","600","600","40600","32910"
"Leaver Dept.","2021","Male","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
