"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Cabinet Office (excl. agencies)","120","120","36640","32000"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Ministry of Justice (excl. agencies)","60","60","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Crown Prosecution Service","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Government Legal Department","50","50","43620","50250"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Cabinet Office (excl. agencies)","390","380","42740","34240"
"Leaver Dept.","2021","Heterosexual / straight","No function","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","240","220","47770","40220"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for Digital, Culture, Media and Sport","90","90","49120","49600"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for International Trade","90","90","46450","38960"
"Leaver Dept.","2021","Heterosexual / straight","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","HM Courts and Tribunals Service","230","220","23380","20910"
"Leaver Dept.","2021","Heterosexual / straight","No function","HM Prison and Probation Service","280","270","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","HM Treasury (excl. agencies)","70","60","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","180","170","41260","34460"
"Leaver Dept.","2021","Heterosexual / straight","No function","Ministry of Justice (excl. agencies)","110","110","39960","36800"
"Leaver Dept.","2021","Heterosexual / straight","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Office of the Public Guardian","70","60","22230","21170"
"Leaver Dept.","2021","Heterosexual / straight","No function","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","United Kingdom Statistics Authority","40","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","No function","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
