"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Cabinet Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office","Male","Unknown","800","800","42320","34550"
"Leaver Dept.","2022","Chancellor's other departments","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Operational Delivery","90","90","32150","25060"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Policy","210","200","44840","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Operational Delivery","70","70","30640","24250"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Policy","220","210","46540","40220"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Policy","80","80","41860","34020"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Policy","70","70","47920","51730"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Policy","160","160","44420","40260"
"Leaver Dept.","2022","Department for Education","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Policy","90","90","44020","40230"
"Leaver Dept.","2022","Department for Education","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Operational Delivery","60","60","25210","21300"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Policy","150","140","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
