"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","LGBO","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Cabinet Office","60","60","40660","34550"
"Leaver Dept.","2021","LGBO","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Ministry of Justice","60","60","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","No function","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Department for Work and Pensions","70","70","29820","27570"
"Leaver Dept.","2021","LGBO","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Home Office","60","60","33820","28670"
"Leaver Dept.","2021","LGBO","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
