"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","LGBO","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","Declared non-disabled","90","90","28330","24210"
"Leaver Dept.","2021","LGBO","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","Declared disabled","40","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","Declared non-disabled","70","70","46770","44090"
"Leaver Dept.","2021","LGBO","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Declared non-disabled","150","150","36360","32000"
"Leaver Dept.","2021","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","Declared non-disabled","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","Declared non-disabled","60","60","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Declared non-disabled","150","150","37320","32000"
"Leaver Dept.","2021","Undeclared","Unknown","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","Unknown","50","50","42950","39660"
"Leaver Dept.","2021","Unknown","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","Unknown","370","360","27240","22680"
"Leaver Dept.","2021","Unknown","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Unknown","530","520","41140","36800"
"Leaver Dept.","2021","Unknown","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","Unknown","60","60","41890","37320"
"Leaver Dept.","2021","Unknown","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Declared disabled","130","110","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Declared non-disabled","1170","990","31970","27570"
"Leaver Dept.","2021","Unknown","Unknown","Undeclared","130","120","37520","34700"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","1640","1380","35820","32000"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
