"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","White","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Policy","620","610","47290","42440"
"Leaver Dept.","2021","White","Heterosexual / straight","Project Delivery","230","230","42510","37900"
"Leaver Dept.","2021","White","Heterosexual / straight","Property","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Science and Engineering","80","80","36240","33100"
"Leaver Dept.","2021","White","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Statistics","50","40","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Heterosexual / straight","Unknown","1490","1420","36260","32000"
"Leaver Dept.","2021","White","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Operational Delivery","100","100","28920","24250"
"Leaver Dept.","2021","White","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Policy","90","90","46330","44090"
"Leaver Dept.","2021","White","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Unknown","180","170","36600","32000"
"Leaver Dept.","2021","White","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Policy","70","60","45670","38820"
"Leaver Dept.","2021","White","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Unknown","120","120","38220","32000"
"Leaver Dept.","2021","White","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Operational Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Unknown","1060","880","30830","27570"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Digital, Data and Technology","70","70","41380","36940"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Finance","60","50","37710","34160"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Medicine","50","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Operational Delivery","970","910","29630","27570"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Other","60","60","30160","27790"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Policy","170","160","39600","35070"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Science and Engineering","190","180","34980","32330"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Unknown","160","150","42480","35590"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Operational Delivery","60","50","32270","27570"
"Leaver Dept.","2022","Asian","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Operational Delivery","60","50","36710","30880"
"Leaver Dept.","2022","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Unknown","140","110","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Finance","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Operational Delivery","490","470","32240","29290"
"Leaver Dept.","2022","Black","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Other","50","40","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Policy","70","70","38940","34530"
"Leaver Dept.","2022","Black","Heterosexual / straight","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Science and Engineering","130","110","35770","33300"
"Leaver Dept.","2022","Black","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Unknown","80","70","41480","36650"
"Leaver Dept.","2022","Black","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","International Trade","[c]","[c]","[c]","[c]"
