"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Undeclared","No function","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Knowledge and Information Management","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Operational Delivery","1480","1220","29320","26780"
"Leaver CS","2022","Undeclared","No function","Other","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Policy","200","90","44440","41110"
"Leaver CS","2022","Undeclared","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Science and Engineering","80","70","38460","38050"
"Leaver CS","2022","Undeclared","No function","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Unknown","80","80","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Project Delivery","60","60","42630","40050"
"Leaver CS","2022","Undeclared","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Property","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","Security","80","80","33420","39070"
"Leaver CS","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Operational Delivery","180","140","29230","27370"
"Leaver CS","2022","Undeclared","Unknown","Other","160","150","27020","22080"
"Leaver CS","2022","Undeclared","Unknown","Policy","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","110","60","29100","27570"
"Leaver CS","2022","Unknown","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Economics","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Commercial","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Unknown","120","120","80090","71460"
"Leaver CS","2022","Unknown","Communications","Communications","90","80","40430","36360"
"Leaver CS","2022","Unknown","Communications","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Counter Fraud","80","60","29450","27570"
"Leaver CS","2022","Unknown","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","Other","30","20","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Digital, Data and Technology","300","290","39970","36840"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Finance","60","60","38110","33240"
"Leaver CS","2022","Unknown","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Grants Management","Operational Delivery","90","80","23490","21300"
"Leaver CS","2022","Unknown","Human Resources","Human Resources","70","70","29750","27130"
"Leaver CS","2022","Unknown","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Legal","110","100","59470","55610"
"Leaver CS","2022","Unknown","Legal","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","International Trade","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Knowledge and Information Management","80","70","36080","29370"
"Leaver CS","2022","Unknown","No function","Medicine","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Operational Delivery","4810","4280","28330","24440"
"Leaver CS","2022","Unknown","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Other","190","170","36130","27570"
"Leaver CS","2022","Unknown","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Policy","190","190","42400","36790"
"Leaver CS","2022","Unknown","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Science and Engineering","160","150","39370","38070"
"Leaver CS","2022","Unknown","No function","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Unknown","380","350","37100","32000"
"Leaver CS","2022","Unknown","No function","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Project Delivery","100","100","40690","38570"
"Leaver CS","2022","Unknown","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Operational Delivery","60","50","22420","21750"
"Leaver CS","2022","Unknown","Property","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Property","90","80","32490","26240"
"Leaver CS","2022","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Security","110","110","29040","25540"
"Leaver CS","2022","Unknown","Security","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Medicine","60","50","39130","34170"
"Leaver CS","2022","Unknown","Unknown","Operational Delivery","160","150","26300","24880"
"Leaver CS","2022","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Other","440","420","33200","30890"
"Leaver CS","2022","Unknown","Unknown","Policy","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","5910","4880","30050","27570"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Economics","60","60","43390","38600"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Statistics","60","60","41630","36030"
"Leaver Dept.","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Commercial","70","70","37770","37360"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
