"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Human Resources","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Attorney General's Departments","80","70","22150","21950"
"Leaver CS","2021","Legal","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Scottish Government","60","50","21730","20850"
"Leaver CS","2021","Legal","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Attorney General's Departments","40","40","[c]","[c]"
"Leaver CS","2021","Legal","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Attorney General's Departments","200","180","58790","55610"
"Leaver CS","2021","Legal","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Ministry of Justice","90","70","40430","43460"
"Leaver CS","2021","Legal","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Scottish Government","30","30","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Department for Business, Energy and Industrial Strategy","50","50","21560","20880"
"Leaver CS","2021","No function","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Department for Environment, Food and Rural Affairs","100","100","22530","21330"
"Leaver CS","2021","No function","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Department for Transport","310","250","21110","21590"
"Leaver CS","2021","No function","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Department of Health and Social Care","170","150","20660","20150"
"Leaver CS","2021","No function","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","HM Land Registry","80","70","22500","22350"
"Leaver CS","2021","No function","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Ministry of Defence","70","70","17580","17180"
"Leaver CS","2021","No function","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Ministry of Justice","3950","3590","19970","19930"
"Leaver CS","2021","No function","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Scottish Government","130","110","22260","21810"
"Leaver CS","2021","No function","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","United Kingdom Statistics Authority","120","80","19480","19130"
"Leaver CS","2021","No function","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Department for Business, Energy and Industrial Strategy","70","60","25510","24250"
"Leaver CS","2021","No function","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Department for Environment, Food and Rural Affairs","70","70","23030","24920"
"Leaver CS","2021","No function","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Department for Transport","150","120","27830","26780"
"Leaver CS","2021","No function","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Department of Health and Social Care","90","80","25630","25090"
"Leaver CS","2021","No function","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","HM Land Registry","70","50","27150","27130"
"Leaver CS","2021","No function","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Ministry of Justice","470","430","24440","24330"
"Leaver CS","2021","No function","EO","National Crime Agency","60","60","34520","34300"
"Leaver CS","2021","No function","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Scottish Government","110","90","32490","33650"
"Leaver CS","2021","No function","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for Business, Energy and Industrial Strategy","60","60","57250","53750"
"Leaver CS","2021","No function","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Department of Health and Social Care","130","120","56670","53170"
"Leaver CS","2021","No function","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Ministry of Justice","50","50","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Office for Standards in Education","40","40","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
