"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Finance","Declared non-disabled","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Education (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Department of Health and Social Care (excl. agencies)","140","90","33110","30320"
"New entrant CS","2022","Finance","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Education and Skills Funding Agency","70","70","36040","29360"
"New entrant CS","2022","Finance","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","HM Revenue and Customs (excl. agencies)","70","70","31200","21250"
"New entrant CS","2022","Finance","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Declared non-disabled","Rural Payments Agency","500","480","21600","21300"
"New entrant CS","2022","Grants Management","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Cabinet Office (excl. agencies)","100","100","32240","27500"
