"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Department for Work and Pensions","60","60","35560","31990"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Ministry of Defence","180","180","41330","40000"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","Home Office","70","70","40660","37460"
"Leaver Dept.","2022","Property","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Department of Health and Social Care","40","30","[c]","[c]"
"Leaver Dept.","2022","Property","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Department of Health and Social Care","2110","1960","40200","37960"
"Leaver Dept.","2022","Science and Engineering","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","No function","Ministry of Defence","50","50","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Project Delivery","Ministry of Defence","60","60","31100","27540"
"Leaver Dept.","2022","Science and Engineering","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Department of Health and Social Care","110","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Cabinet Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Cabinet Office","70","70","44260","39370"
"Leaver Dept.","2022","Unknown","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Cabinet Office","60","60","48310","54700"
"Leaver Dept.","2022","Unknown","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Cabinet Office","140","130","39790","34550"
"Leaver Dept.","2022","Unknown","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Cabinet Office","1350","1340","41330","33250"
"Leaver Dept.","2022","Unknown","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Department for Transport","300","300","43550","42470"
"Leaver Dept.","2022","Unknown","No function","Ministry of Justice","150","140","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Cabinet Office","70","70","37480","33300"
"Leaver Dept.","2022","Unknown","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Department for Work and Pensions","190","190","32480","27570"
"Leaver Dept.","2022","Unknown","Unknown","Department of Health and Social Care","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office","310","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","HM Revenue and Customs","1320","1280","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Scottish Government","80","80","42100","36300"
"Leaver Dept.","2022","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
